date,value
2024-10-03,15035.08
2024-10-04,15027.89
2024-10-07,15023.70
2024-10-08,14968.12
2024-10-09,15020.31
2024-10-10,15018.06
2024-10-11,14996.39
2024-10-14,15057.76
2024-10-15,15172.58
2024-10-16,15144.46
2024-10-17,15053.22
2024-10-18,15263.09
2024-10-21,15190.60
2024-10-22,15111.34
2024-10-23,14973.32
2024-10-24,15041.33
2024-10-25,14980.01
2024-10-28,14895.51
2024-10-29,15052.62
2024-10-30,15174.02
2024-10-31,15082.58
2024-11-01,15176.42
2024-11-04,15149.12
2024-11-05,14927.02
2024-11-06,14804.47
2024-11-07,14857.63
2024-11-08,14820.19
2024-11-11,14672.42
2024-11-12,14826.98
2024-11-13,14817.56
2024-11-14,14811.08
2024-11-15,14845.97
2024-11-18,14848.86
2024-11-19,14712.63
2024-11-20,14638.95
2024-11-21,14749.27
2024-11-22,14793.76
2024-11-25,14990.74
2024-11-26,14991.69
2024-11-27,15245.98
2024-11-28,15307.19
2024-11-29,15439.22
2024-12-02,15448.71
2024-12-03,15472.46
2024-12-04,15578.32
2024-12-05,15445.98
2024-12-06,15612.89
2024-12-09,15659.24
2024-12-10,15767.29
2024-12-11,15922.41
2024-12-12,16016.23
2024-12-13,15971.57
2024-12-16,16053.93
2024-12-17,15987.88
2024-12-18,15874.67
2024-12-19,15994.01
2024-12-20,15918.48
2024-12-23,15810.93
2024-12-24,15747.38
2024-12-25,15778.67
2024-12-26,15679.43
2024-12-27,15592.95
2024-12-30,15569.26
2024-12-31,15769.57
2025-01-01,15840.97
2025-01-02,15810.05
2025-01-03,15935.27
2025-01-06,15790.05
2025-01-07,15903.73
2025-01-08,16095.73
2025-01-09,16114.09
2025-01-10,16199.69
2025-01-13,16192.54
2025-01-14,16083.82
2025-01-15,16091.13
2025-01-16,16169.46
2025-01-17,16050.25
2025-01-20,16248.03
2025-01-21,16389.78
2025-01-22,16584.86
2025-01-23,16621.43
2025-01-24,16412.78
2025-01-27,16254.28
2025-01-28,16370.75
2025-01-29,16428.62
2025-01-30,16539.62
2025-01-31,16592.09
2025-02-03,16798.01
2025-02-04,16614.10
2025-02-05,16502.28
2025-02-06,16566.57
2025-02-07,16565.92
2025-02-10,16602.52
2025-02-11,16895.10
2025-02-12,16935.08
2025-02-13,16973.23
2025-02-14,16989.41
2025-02-17,17044.61
2025-02-18,16913.68
2025-02-19,17055.90
2025-02-20,16979.37
2025-02-21,17190.19
2025-02-24,17246.04
2025-02-25,17152.79
2025-02-26,17227.54
2025-02-27,17296.73
2025-02-28,17322.06
2025-03-03,17315.62
2025-03-04,17268.64
2025-03-05,17186.41
2025-03-06,17025.72
2025-03-07,17206.19
2025-03-10,17167.73
2025-03-11,17148.19
2025-03-12,16997.06
2025-03-13,16925.10
2025-03-14,16962.28
2025-03-17,17095.00
2025-03-18,17255.56
2025-03-19,17164.44
2025-03-20,17108.08
2025-03-21,16974.86
2025-03-24,17268.03
2025-03-25,17594.82
2025-03-26,17504.94
2025-03-27,17411.27
2025-03-28,17493.81
2025-03-31,17447.53
2025-04-01,17499.36
2025-04-02,17353.80
2025-04-03,17246.80
2025-04-04,17398.92
2025-04-07,17470.58
2025-04-08,17373.35
2025-04-09,17364.12
2025-04-10,17332.32
2025-04-11,17409.30
2025-04-14,17430.17
2025-04-15,17544.19
2025-04-16,17377.21
2025-04-17,17515.03
2025-04-18,17418.90
2025-04-21,17693.53
2025-04-22,17614.81
2025-04-23,17677.40
2025-04-24,17701.36
2025-04-25,17643.82
2025-04-28,17574.64
2025-04-29,17569.82
2025-04-30,17656.66
2025-05-01,17477.58
2025-05-02,17558.80
2025-05-05,17595.74
2025-05-06,17541.99
2025-05-07,17575.16
2025-05-08,17619.44
2025-05-09,17808.49
2025-05-12,17921.13
2025-05-13,18040.36
2025-05-14,18263.24
2025-05-15,18168.30
2025-05-16,18076.53
2025-05-19,18331.64
2025-05-20,18324.74
2025-05-21,18238.91
2025-05-22,18384.18
2025-05-23,18459.54
2025-05-26,18588.96
2025-05-27,18659.00
2025-05-28,18666.56
2025-05-29,18927.26
2025-05-30,19153.61
2025-06-02,19250.11
2025-06-03,19195.71
2025-06-04,19493.82
2025-06-05,19288.00
2025-06-06,19370.01
2025-06-09,19283.79
2025-06-10,19338.13
2025-06-11,19302.63
2025-06-12,19337.02
2025-06-13,19446.59
2025-06-16,19327.07
2025-06-17,19434.62
2025-06-18,19455.01
2025-06-19,19761.31
2025-06-20,19752.64
2025-06-23,19533.47
2025-06-24,19804.39
2025-06-25,19751.75
2025-06-26,19822.66
2025-06-27,19898.54
2025-06-30,19818.85
2025-07-01,20022.27
2025-07-02,20022.56
2025-07-03,19796.79
2025-07-04,19950.16
2025-07-07,19936.07
2025-07-08,19862.96
2025-07-09,19849.03
2025-07-10,19821.10
2025-07-11,19802.93
2025-07-14,19725.32
2025-07-15,19651.36
2025-07-16,19825.81
2025-07-17,20053.42
2025-07-18,19781.40
2025-07-21,19873.88
2025-07-22,19909.23
2025-07-23,19681.33
2025-07-24,19749.87
2025-07-25,19831.37
2025-07-28,19882.08
2025-07-29,20106.26
2025-07-30,20026.81
2025-07-31,19992.15
2025-08-01,20057.29
2025-08-04,20225.74
2025-08-05,20245.83
2025-08-06,20369.88
2025-08-07,20281.42
2025-08-08,20427.26
2025-08-11,20479.34
2025-08-12,20480.10
2025-08-13,20410.68
2025-08-14,20724.55
2025-08-15,20832.62
2025-08-18,20986.75
2025-08-19,21139.74
2025-08-20,20995.01
2025-08-21,20888.88
2025-08-22,21054.00
2025-08-25,21109.01
2025-08-26,20869.31
2025-08-27,20866.22
2025-08-28,21144.84
2025-08-29,21003.36
2025-09-01,20995.44
2025-09-02,20781.41
2025-09-03,20834.77
2025-09-04,20554.19
2025-09-05,20543.65
2025-09-08,20448.02
2025-09-09,20373.54
2025-09-10,20540.94
2025-09-11,20331.69
2025-09-12,20351.02
2025-09-15,20485.49
2025-09-16,20668.40
2025-09-17,20846.43
2025-09-18,20966.66
2025-09-19,21070.76
2025-09-22,21160.77
2025-09-23,21230.50
2025-09-24,21285.17
2025-09-25,21337.70
2025-09-26,21450.92
2025-09-29,21450.04
2025-09-30,21506.14
2025-10-01,21466.64
2025-10-02,21738.27
2025-10-03,21559.27
2025-10-06,21696.48
2025-10-07,21784.52
2025-10-08,21731.97
2025-10-09,21676.28
2025-10-10,21489.80
2025-10-13,21823.71
2025-10-14,21915.99
2025-10-15,21743.15
2025-10-16,21649.04
2025-10-17,21554.35
2025-10-20,21379.04
2025-10-21,21322.50
2025-10-22,21469.65
2025-10-23,21205.70
2025-10-24,21075.92
2025-10-27,20997.80
2025-10-28,21145.43
2025-10-29,20816.13
2025-10-30,20773.91
2025-10-31,20933.05
2025-11-03,20650.84
2025-11-04,20679.36
2025-11-05,20616.14
2025-11-06,20827.94
2025-11-07,20939.11
2025-11-10,20757.40
2025-11-11,20985.95
2025-11-12,21265.79
2025-11-13,21417.79
2025-11-14,21684.34
2025-11-17,21655.85
2025-11-18,21703.73
2025-11-19,21613.32
2025-11-20,21587.81
2025-11-21,21335.55
2025-11-24,21304.72
2025-11-25,21320.36
2025-11-26,21514.80
2025-11-27,21047.08
2025-11-28,20826.86
2025-12-01,20555.50
2025-12-02,20667.09
2025-12-03,20573.22
2025-12-04,20742.00
2025-12-05,20846.21
2025-12-08,20956.30
2025-12-09,20911.36
2025-12-10,21111.97
2025-12-11,21206.09
2025-12-12,21400.18
2025-12-15,21016.44
2025-12-16,20954.40
2025-12-17,20987.14
2025-12-18,21197.91
2025-12-19,21271.75
2025-12-22,21278.02
2025-12-23,21436.22
2025-12-24,21303.99
2025-12-25,21239.49
2025-12-26,21283.00
2025-12-29,21421.49
2025-12-30,21333.05
2025-12-31,21411.93
2026-01-01,21423.49
2026-01-02,21609.92
2026-01-05,21413.02
2026-01-06,21367.94
2026-01-07,21481.28
2026-01-08,21548.82
2026-01-09,21351.20
2026-01-12,21668.56
2026-01-13,21247.80
2026-01-14,21184.61
2026-01-15,21326.93
2026-01-16,21021.49
2026-01-19,20962.16
2026-01-20,20938.43
2026-01-21,20998.56
2026-01-22,21242.99
2026-01-23,21241.42
2026-01-26,21257.02
2026-01-27,21040.57
2026-01-28,21205.38
2026-01-29,21198.63
2026-01-30,21518.80
2026-02-02,21318.28
2026-02-03,21068.09
2026-02-04,21220.47
2026-02-05,21144.67
2026-02-06,21152.65
2026-02-09,21260.22
2026-02-10,21159.75
2026-02-11,21304.76
2026-02-12,21388.66
2026-02-13,21318.67
2026-02-16,21180.31
2026-02-17,21571.16
2026-02-18,21422.28
2026-02-19,21703.96
2026-02-20,21700.22
2026-02-23,21615.80
2026-02-24,21552.18
2026-02-25,21814.94
2026-02-26,21871.32
2026-02-27,22236.88
2026-03-02,21914.36
2026-03-03,21730.81
2026-03-04,21652.71
2026-03-05,22022.77
2026-03-06,21908.69
2026-03-09,22050.91
2026-03-10,21991.32
2026-03-11,21950.79
2026-03-12,21661.70
2026-03-13,21860.56
2026-03-16,21954.91
2026-03-17,22016.47
2026-03-18,21878.93
2026-03-19,22017.11
2026-03-20,21852.03
2026-03-23,21838.44
2026-03-24,21987.01
2026-03-25,22010.75
2026-03-26,22203.15
2026-03-27,22399.73
2026-03-30,22493.47
2026-03-31,22247.13
2026-04-01,22021.37
2026-04-02,21983.42
2026-04-03,22121.52
2026-04-06,22224.39
2026-04-07,22105.85
2026-04-08,21957.99
2026-04-09,21664.24
2026-04-10,21645.39
2026-04-13,21534.97
2026-04-14,21167.82
2026-04-15,21212.74
2026-04-16,21357.50
2026-04-17,21213.85
2026-04-20,21143.43
2026-04-21,20977.82
2026-04-22,21060.99
2026-04-23,21032.93
2026-04-24,20994.43
2026-04-27,20996.95
2026-04-28,21052.91
2026-04-29,21063.17
2026-04-30,20995.49
2026-05-01,20909.79
2026-05-04,21049.02
2026-05-05,21182.70
2026-05-06,21407.11
2026-05-07,21494.99
2026-05-08,21471.37
2026-05-11,21510.19
2026-05-12,21390.51
2026-05-13,21510.08
2026-05-14,21585.46
2026-05-15,21744.83
2026-05-18,21831.48
2026-05-19,21831.42
2026-05-20,21802.00
2026-05-21,21569.39
2026-05-22,21515.47
2026-05-25,21834.26
2026-05-26,21731.98
2026-05-27,21803.11
2026-05-28,22034.33
2026-05-29,22199.67
2026-06-01,21976.80
2026-06-02,21841.29
2026-06-03,22125.92
2026-06-04,22248.61
2026-06-05,22148.53
2026-06-08,22373.54
2026-06-09,22408.52
2026-06-10,22642.92
2026-06-11,22564.87
2026-06-12,22598.94
2026-06-15,22891.30
